,,1,51.4300,216.8769,258.6084,58.5792,237.4937,227.1205,73.8474,226.5286,228.1609
,,2,55.2126,219.6809,267.7890,57.0654,228.3221,215.7441,96.0502,191.2537,221.6233
,,3,62.2683,294.8819,255.0796,51.1328,212.9018,169.6691,47.5828,216.5750,179.5620
,,4,69.1562,211.6059,249.9561,43.0598,239.0617,233.8086,77.1734,171.9713,215.6597
,,5,54.0897,249.8576,237.8364,34.6772,217.6354,257.1663,57.5268,154.6146,195.7747
,,6,53.6090,216.9524,175.4736,38.8743,199.0979,211.5251,68.1916,194.4798,175.9046
,,7,45.2103,296.5876,269.8492,61.1433,210.5768,177.0802,69.1992,208.8835,169.0707
,,8,41.9810,230.8693,226.5044,47.5318,238.8405,201.1037,72.3725,196.5711,205.3931
,,9,77.5153,250.9120,253.3945,66.9149,230.7846,199.6801,39.6513,160.9759,239.8656
,,10,52.3884,247.1540,279.8299,69.3340,198.8379,214.2303,70.0539,213.8009,181.5937
,,,,,,,,,,,
,,mean,56.2861,243.5379,247.4321,52.8313,221.3552,210.7128,67.1649,193.5654,201.2608
,,std,10.1554,29.5377,28.1068,11.1425,14.9032,24.5534,15.0106,23.0671,23.2806
,,best cost,41.9810,211.6059,175.4736,34.6772,198.8379,169.6691,39.6513,154.6146,169.0707
,,worst cost,77.5153,296.5876,279.8299,69.3340,239.0617,257.1663,96.0502,226.5286,239.8656
,,,,,,,,,,,
,,,,,,,,,,,
,,m o m,166.0163,,,,,,,,
,,std o m,77.6907,,,,,,,,
,,m o std,19.9730,,,,,,,,
,,std o std,6.8623,,,,,,,,
,,m o bc,132.8424,,,,,,,,
,,std o bc,68.3910,,,,,,,,
,,m o wc,197.9932,,,,,,,,
,,std o wc,85.3973,,,,,,,,
